domain,collected_data,owner
073202.com,metrics,iag
084793.com,metrics,cofense
1nfoclient.fr,metrics,sibermate
304838.com,metrics,iag
365-office.net,metrics,infosecinstitute
367450.com,metrics,iag
4datasolution.com,credentials,trendmicro
aditisecurity.com,metrics,RedHerring
adp-payday.com,metrics,infosecinstitute
advanced-documents.com,metrics,TitanHQ
alerttnow.com,metrics,infosecinstitute
allhrgroup.com,metrics,cofense
allhrteam.com,metrics,cofense
amazingholidaycoupons.com,metrics,cofense
amazonsecurity.org,metrics,huntress
amzwon.at,metrics,sibermate
amzwon.de,metrics,sibermate
amzwon.net,metrics,sibermate
applic.center,metrics,dcoya
asistenciahoy.com,metrics,sibermate
atencionalcleinte.com,metrics,sibermate
aust-bank.com,metrics,phished
auth-secure.me,metrics,hoxhunt
auth.properties,metrics,hoxhunt
auth.re,metrics,hoxhunt
authentication.ms,metrics,hoxhunt
authlnk.com,metrics,cyberly
authorised-support.com,metrics,phriendlyphishing
bankonlinesupport.com,metrics,pii-protect
banque-online.com,metrics,sibermate
barclays-banking.net,metrics,infosec
barclaysbanksonline.co.uk,metrics,TitanHQ
biiiing.at,metrics,sibermate
biiiing.de,metrics,sibermate
biiing.net,metrics,sibermate
bitliy.co,metrics,TitanHQ
breach-notice.com,metrics,huntress
bulletinshr.com,metrics,iag
businessnotice.org,metrics,huntress
calendar-invites.com,metrics,infosecinstitute
cardpaysecurity.org,metrics,phriendlyphishing
careerpost.us,metrics,cofense
centre-assistance.fr,metrics,sibermate
centro-asistencia.com,metrics,sibermate
channelhub.online,metrics,cybeready
chctgpt.net,metrics,phishingbox
cloud-dirve.com,metrics,Fortra
cloud-service-care.com,metrics,pii-protect
cloudfreespace.net,metrics,infosecinstitute
clovdstar.com,metrics,infosecinstitute
com-c0m.net,metrics,sosafe
com-trusted.org,metrics,sosafe
companylegal.co.nz,metrics,sibermate
companylegal.co.uk,metrics,sibermate
companylegal.id,metrics,sibermate
companylegal.in,metrics,sibermate
companypolicy.at,metrics,sibermate
companypolicy.au,metrics,sibermate
companypolicy.com.au,metrics,usecure.io
companypolicy.de,metrics,sibermate
companypolicy.id,metrics,sibermate
companypolicy.ie,metrics,sibermate
comunicazioni-sicure.it,metrics,Cyberguru
confirmationportal.com,metrics,outthink
consumerproductsconference.com,metrics,cofense
corp-benefits-online.com,metrics,TitanHQ
corporacion-desguridad-deti.mx,metrics,cofense
costumesnsfw.com,metrics,cofense
countyofsd.net,metrics,RedHerring
cs-portalintranet.com,metrics,cybsafe
csatsafety-.org,metrics,rainnetworks
ctateachers.net,metrics,RedHerring
current-news-alerts.com,metrics,cofense
customer-portal.info,metrics,pii-protect
cyberlift.ai,metrics,cyberlift
data-safe.cc,metrics,infosecinstitute
databoxonline.com,metrics,huntress
delivery-details.com,metrics,TitanHQ
direct-auth.org,metrics,nettvett
discontcomputers.com,metrics,cofense
